repo_id,author,downloads,likes,last_modified,created_at,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,codebase_version,robot_type,total_episodes,total_frames,total_tasks,total_videos,total_chunks,chunks_size,fps,data_files_size_in_mb,video_files_size_in_mb
4yato/gakushu6,4yato,17,0,2026-02-07T08:52:48+00:00,2026-02-07T07:42:44+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,60,45579,1,,,1000,30,100,200
4yato/gakushu5.1,4yato,21,0,2026-01-29T08:24:07+00:00,2026-01-29T08:07:26+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,40,28598,1,,,1000,30,100,200
4yato/gakushu5,4yato,28,0,2026-01-23T09:20:39+00:00,2026-01-23T09:20:17+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,21,12510,1,,,1000,30,100,500
4yato/gakushu3,4yato,6,0,2025-12-02T09:23:29+00:00,2025-12-02T09:23:17+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,40,40959,1,,,1000,30,100,500
4yato/gakushu2,4yato,10,0,2025-11-27T08:57:38+00:00,2025-11-26T08:44:31+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,70,65420,1,,,1000,30,100,500
4yato/gakushu1,4yato,7,0,2025-11-21T08:22:44+00:00,2025-11-21T08:22:33+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,10,9319,1,,,1000,30,100,500
7alexzhang7/eval_turn-h-wrench-to-left-hard-diffusion-new-5090,7alexzhang7,84,0,2026-01-31T02:28:51+00:00,2026-01-31T00:28:23+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so101_follower,20,36010,1,,,1000,30,100,200
7alexzhang7/eval_turn-turnwheel-to-left-hard-diffusion-new,7alexzhang7,74,0,2026-01-30T01:31:39+00:00,2026-01-29T22:15:34+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so101_follower,20,34907,1,,,1000,30,100,200
7alexzhang7/turn-turnwheel-to-left-hard,7alexzhang7,36,0,2026-01-29T06:12:36+00:00,2026-01-29T05:13:28+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,48633,1,,,1000,30,100,200
7alexzhang7/eval_turn-door-handle-to-left-hard-diffusion-new,7alexzhang7,55,0,2026-01-29T03:39:55+00:00,2026-01-29T01:52:01+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so101_follower,20,12532,1,,,1000,30,100,200
7alexzhang7/door-handle-turn-left-hard,7alexzhang7,32,0,2026-01-28T01:49:35+00:00,2026-01-28T01:16:21+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,24149,1,,,1000,30,100,200
7alexzhang7/h-wrench-turn-left-hard,7alexzhang7,33,0,2026-01-27T03:42:06+00:00,2026-01-27T02:49:53+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,31306,1,,,1000,30,100,200
7alexzhang7/eval_turn_quarter-lever-to-left-hard-diffusion-new,7alexzhang7,95,0,2026-01-27T01:59:20+00:00,2026-01-27T00:01:06+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so101_follower,21,25873,1,,,1000,30,100,200
7alexzhang7/quarter-lever-turn-left-light,7alexzhang7,53,0,2026-01-17T23:47:57+00:00,2026-01-17T22:50:50+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,32633,1,,,1000,30,100,200
7alexzhang7/quarter-lever-turn-left-hard,7alexzhang7,50,0,2026-01-16T02:17:21+00:00,2026-01-16T00:18:29+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,46945,1,,,1000,30,100,200
7alexzhang7/eval_so101-turn-quarter-lever-to-left-light-diffusion,7alexzhang7,234,0,2025-12-18T07:06:52+00:00,2025-12-18T05:50:28+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so101_follower,20,11340,1,,,1000,30,100,200
7alexzhang7/quarter-lever-to-left-light,7alexzhang7,12,0,2025-12-17T23:22:09+00:00,2025-12-17T22:17:41+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,26978,1,,,1000,30,100,200
