repo_id,author,downloads,likes,last_modified,created_at,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,codebase_version,robot_type,total_episodes,total_frames,total_tasks,total_videos,total_chunks,chunks_size,fps,data_files_size_in_mb,video_files_size_in_mb
Hnyquister/demo-test-merged,Hnyquister,24,0,2026-01-29T14:13:49+00:00,2026-01-29T14:06:45+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so101_follower,78,30488,2,156,1,1000,30,,
Hnyquister/demo-test,Hnyquister,115,0,2026-01-29T11:49:03+00:00,2026-01-22T13:34:13+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so101_follower,20,6707,1,40,1,1000,30,,
Kimz1/eval_so100-teleop-record-0827-5,Kimz1,5,0,2025-08-27T15:28:28+00:00,2025-08-27T15:28:02+00:00,True,0,0,0,pick_and_place,0,0,v2.1,so100_follower,11,14335,1,22,1,1000,30,,
Kimz1/so100-teleop-record-0827-4,Kimz1,5,0,2025-08-27T07:31:52+00:00,2025-08-27T07:31:24+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,25,9373,1,50,1,1000,30,,
Kimz1/so100-teleop-record-0827-2,Kimz1,4,0,2025-08-27T05:06:05+00:00,2025-08-27T05:05:37+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,30,11296,1,60,1,1000,30,,
Kimz1/eval_so100-teleop-record-0827-1,Kimz1,5,0,2025-08-27T01:06:22+00:00,2025-08-27T01:05:58+00:00,True,0,0,0,pick_and_place,0,0,v2.1,so100_follower,10,7160,1,20,1,1000,30,,
Kimz1/eval_so100-teleop-record-0826-1,Kimz1,10,0,2025-08-26T10:34:06+00:00,2025-08-26T10:33:44+00:00,True,0,0,0,pick_and_place,0,0,v2.1,so100_follower,10,3945,1,20,1,1000,30,,
Kimz1/so100-teleoperate-record-0826-1cam,Kimz1,5,0,2025-08-26T06:22:51+00:00,2025-08-26T06:22:31+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,10,5410,1,10,1,1000,30,,
Kimz1/so100-teleop-record-0826-1,Kimz1,18,0,2025-08-26T03:50:39+00:00,2025-08-26T03:50:07+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,100,63632,1,200,1,1000,30,,
Kimz1/eval_so100-teleop-record-0825-3,Kimz1,3,0,2025-08-26T01:24:26+00:00,2025-08-26T01:24:03+00:00,True,0,0,0,pick_and_place,0,0,v2.1,so100_follower,10,3597,1,20,1,1000,30,,
Kimz1/eval_so100-teleop-record-0825-2,Kimz1,4,0,2025-08-26T01:03:17+00:00,2025-08-26T01:02:43+00:00,True,0,0,0,pick_and_place,0,0,v2.1,so100_follower,10,17179,1,20,1,1000,30,,
Kimz1/so100-teleop-record-0825-480x480-final,Kimz1,7,0,2025-08-25T12:28:14+00:00,2025-08-25T12:27:54+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,30,20257,1,30,1,1000,30,,
Kimz1/so100-teleop-record-0825-1cam,Kimz1,7,0,2025-08-25T11:48:01+00:00,2025-08-25T11:47:58+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,30,20257,1,30,1,1000,30,,
Kimz1/so100-teleop-record-0825-2,Kimz1,32,0,2025-08-25T10:41:27+00:00,2025-08-25T10:40:51+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,50,26259,1,100,1,1000,30,,
Kimz1/so100-teleop-record-0825-1,Kimz1,7,0,2025-08-25T09:28:11+00:00,2025-08-25T09:28:08+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,48,26667,1,96,1,1000,30,,
Kimz1/so100-teleop-record-1,Kimz1,21,0,2025-08-23T11:49:01+00:00,2025-08-23T11:48:50+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,101,63753,1,208,1,1000,30,,
Kimz1/so100-teleop-record,Kimz1,15,0,2025-08-22T06:19:58+00:00,2025-08-22T06:19:51+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,50,43598,1,104,1,1000,30,,
NeerJain04/so100_teleop_fresh,NeerJain04,5,0,2025-12-23T07:33:24+00:00,2025-12-23T07:32:42+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,50,29615,1,50,1,1000,30,,
RyutaroMurayama/so100_test4,RyutaroMurayama,5,0,2025-09-15T09:08:57+00:00,2025-09-15T09:08:44+00:00,False,0,0,0,pick_and_place,0,0,v2.1,so100_follower,15,9000,1,15,1,1000,30,,
