repo_id,author,downloads,likes,description,so101_mentioned,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,num_episodes,author_has_eval
physical-intelligence/libero,physical-intelligence,22008,60,This dataset was created using LeRobot. Dataset Description This dataset combines four individual Libero datasets: Libero-Spatial  Libero-Object  Libero-Goal and Libero-10. All datasets were taken fro,False,False,1,0,0,pick_and_place,1,1,,False
lerobot/pusht,lerobot,7262,44,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
yaak-ai/L2D,yaak-ai,19682,43,TL;DR of L2D  the world's largest self-driving dataset! Read more about L2D on the official Huggingface blog: LeRobot goes to driving school 90+ TeraBytes of multimodal data (5000+ hours of driving) f,False,False,0,0,0,pick_and_place,0,0,,False
behavior-1k/2025-challenge-demos,behavior-1k,148923,31,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
HuggingFaceVLA/libero,HuggingFaceVLA,13275,31,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
youliangtan/so101-table-cleanup,youliangtan,1616,28,This dataset was created using LeRobot.,True,False,0,0,0,pick_and_place,0,0,,False
lerobot/svla_so101_pickplace,lerobot,1430,24,This dataset was created using LeRobot.,True,False,2,0,0,pick_and_place,2,2,,False
cadene/droid_1.0.1,cadene,235910,16,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/metaworld_mt50,lerobot,4288,14,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
unitreerobotics/G1_Clean_Table,unitreerobotics,751,14,This dataset was created using LeRobot. Due to the inability to precisely describe spatial positions  adjust the scene to closely match the first frame of the dataset after installing the hardware as ,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/aloha_sim_insertion_human,lerobot,4088,12,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
IPEC-COMMUNITY/fractal20220817_data_lerobot,IPEC-COMMUNITY,196757,12,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
IPEC-COMMUNITY/bridge_orig_lerobot,IPEC-COMMUNITY,243631,12,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
cadene/droid,cadene,343173,11,This dataset was created using LeRobot. DROID: A Large-Scale In-the-Wild Robot Manipulation Dataset One of the biggest open-source dataset for robotics with 27.044 326 frames  92 223 episodes  31 308 ,False,False,0,0,0,pick_and_place,0,0,,False
OpenDriveLab-org/Kai0,OpenDriveLab-org,6383,11,KAI0 TODO The advantage label will be coming soon. Contents About the Dataset Load the Dataset Download the Dataset,False,False,0,0,1,laundry_folding,1,1,,False
lerobot/svla_so100_sorting,lerobot,229,10,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/droid_1.0.1,lerobot,10481,10,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/aloha_sim_transfer_cube_human,lerobot,4433,9,This dataset was created using LeRobot.,False,False,2,0,0,pick_and_place,2,2,,False
lerobot/aloha_mobile_cabinet,lerobot,1691,9,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/droid_100,lerobot,1475,9,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
IPEC-COMMUNITY/droid_lerobot,IPEC-COMMUNITY,434012,9,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/aloha_static_cups_open,lerobot,3561,8,This dataset was created using LeRobot.,False,False,0,1,0,pour_liquids,1,1,,False
danaaubakirova/koch_test,danaaubakirova,350,7,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
physical-intelligence/aloha_pen_uncap_diverse,physical-intelligence,773,7,This dataset was created using LeRobot. Dataset Description This dataset is a lerobot conversion of the aloha_pen_uncap_diverse subset of BiPlay. BiPlay contains 9.7 hours of bimanual data collected w,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/aloha_sim_transfer_cube_scripted,lerobot,3172,6,This dataset was created using LeRobot.,False,False,2,0,0,pick_and_place,2,2,,False
lerobot/pusht_image,lerobot,3591,6,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
dunnolab/so-combined-eng,dunnolab,4780,6,This dataset was created using LeRobot. Dataset Description The English version of this dataset integrates 598 open-source community datasets into a single unified corpus  comprising 22 709 episodes a,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/aloha_sim_insertion_scripted,lerobot,3381,5,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/aloha_static_coffee,lerobot,660,5,This dataset was created using LeRobot.,False,False,0,1,0,pour_liquids,1,1,,False
yaak-ai/lerobot-driving-school,yaak-ai,37,5,Lerobot goes to driving school This dataset was created using LeRobot. Dataset Description Homepage: https://www.yaak.ai/blog/a-novel-test-for-autonomy Paper: https://www.yaak.ai/blog/next-action-pred,False,False,0,0,0,pick_and_place,0,0,,False
lerobot/libero_spatial_image,lerobot,660,5,This dataset was created using LeRobot.,False,False,0,0,0,pick_and_place,0,0,,False
unitreerobotics/Z1_StackBox_Dataset,unitreerobotics,338,5,This dataset was created using LeRobot.,False,False,1,0,0,pick_and_place,1,1,,False
lerobot/xvla-soft-fold,lerobot,730,5,This dataset was created using LeRobot. Dataset Description Repository: X-VLA License: Apache 2.0 Paper: Zheng et al.  2025  “X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Langu,False,False,0,0,1,laundry_folding,1,1,,False
lerobot/umi_cup_in_the_wild,lerobot,398,4,This dataset was created using LeRobot.,False,False,0,1,0,pour_liquids,1,1,,False
