repo_id,author,downloads,likes,last_modified,created_at,description,so101_mentioned,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,num_episodes,codebase_version,robot_type,video_files_size_in_mb,data_files_size_in_mb,author_has_eval
zuichucai/so101_test1,zuichucai,0,0,2026-02-13T18:09:57+00:00,2026-02-13T10:53:25+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 36, ""total_frames"": 14283, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",True,False,0,0,0,pick_and_place,0,0,36,v3.0,so_follower,200.0,100.0,False
wkal/so101_home_pick,wkal,0,0,2026-02-13T17:54:12+00:00,2026-02-13T14:49:21+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 40, ""total_frames"": 28890, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",True,False,1,0,0,pick_and_place,1,1,80,v3.0,so101_follower,200.0,100.0,False
Grievous-Robot/bimanual-laptop-20260213_101738,Grievous-Robot,0,0,2026-02-13T17:24:44+00:00,2026-02-13T17:23:45+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""bi_so_follower"", ""total_episodes"": 40, ""total_frames"": 58877, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",False,False,0,0,0,pick_and_place,0,0,40,v3.0,bi_so_follower,200.0,100.0,False
TBSKR/pickplace,TBSKR,0,0,2026-02-13T17:14:25+00:00,2026-02-13T17:13:46+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 48, ""total_frames"": 35066, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,2,0,0,pick_and_place,2,2,48,v3.0,so_follower,200.0,100.0,False
dariusss04/single-color-ball,dariusss04,0,0,2026-02-13T17:12:24+00:00,2026-02-13T15:27:44+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 100, ""total_frames"": 15119, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",False,False,0,0,0,pick_and_place,0,0,100,v3.0,so_follower,200.0,100.0,False
ThavT/red_block_in_tape,ThavT,35,0,2026-02-13T16:54:42+00:00,2026-02-11T18:03:29+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 33, ""total_frames"": 16914, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,33,v3.0,so_follower,200.0,100.0,False
Marco10pez/eval_Marcos_demoV3,Marco10pez,18,0,2026-02-13T16:46:01+00:00,2026-02-11T21:17:10+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""bi_so_follower"", ""total_episodes"": 11, ""total_frames"": 10141, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",False,True,0,0,0,pick_and_place,0,0,11,v3.0,bi_so_follower,200.0,100.0,True
hubnemo/cube_out_of_box_dataset,hubnemo,0,0,2026-02-13T16:44:16+00:00,2026-02-13T16:44:07+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 20, ""total_frames"": 2273, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 10, ""splits"": {",False,False,1,0,0,pick_and_place,1,1,20,v3.0,so_follower,200.0,100.0,False
kamus1018/small_grid,kamus1018,0,0,2026-02-13T16:32:29+00:00,2026-02-13T15:14:02+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 45, ""total_frames"": 20626, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,45,v3.0,so_follower,200.0,100.0,False
nonline/so101_cup_sorting_all,nonline,0,0,2026-02-13T16:31:16+00:00,2026-02-13T16:31:08+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 50, ""total_frames"": 26861, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",True,False,0,1,0,pour_liquids,1,1,50,v3.0,so101_follower,200.0,100.0,False
joanfox/clean_table_random_v11.5,joanfox,0,0,2026-02-13T16:09:22+00:00,2026-02-13T16:09:17+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 405, ""total_frames"": 181533, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",False,False,0,0,0,pick_and_place,0,0,405,v3.0,so_follower,200.0,100.0,False
joanfox/clean_table_random_v11,joanfox,0,0,2026-02-13T16:07:32+00:00,2026-02-13T16:07:14+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 40, ""total_frames"": 19361, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,40,v3.0,so_follower,200.0,100.0,False
Ryan-ZL-LIN/phase1-long-episodes-0213,Ryan-ZL-LIN,0,0,2026-02-13T15:48:38+00:00,2026-02-13T15:47:35+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 36, ""total_frames"": 63152, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 500, ""fps"": 30, ""splits""",True,False,0,0,0,pick_and_place,0,0,36,v3.0,so101_follower,500.0,100.0,False
dariusss04/single-color-cube,dariusss04,27,0,2026-02-13T15:24:54+00:00,2026-02-12T16:24:15+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 100, ""total_frames"": 15547, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",False,False,1,0,0,pick_and_place,1,1,100,v3.0,so_follower,200.0,100.0,False
kamus1018/grid_2.0,kamus1018,0,0,2026-02-13T15:10:15+00:00,2026-02-13T12:32:45+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 100, ""total_frames"": 41355, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",False,False,0,0,0,pick_and_place,0,0,100,v3.0,so_follower,200.0,100.0,False
studyco/ichigo-so101-pick-and-place-cube-50ep-v1,studyco,0,0,2026-02-13T14:20:29+00:00,2026-02-13T14:20:14+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 49, ""total_frames"": 35113, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",True,False,3,0,0,pick_and_place,3,3,49,v3.0,so_follower,200.0,100.0,False
BrandonAL/eval_my_smolvla_pickplace_merged,BrandonAL,0,0,2026-02-13T14:13:02+00:00,2026-02-13T14:12:37+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 12, ""total_frames"": 5312, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",True,True,2,0,0,pick_and_place,2,2,12,v3.0,so101_follower,200.0,100.0,True
BrandonAL/eval_my_smolvla_pickplace,BrandonAL,0,0,2026-02-13T13:52:20+00:00,2026-02-13T13:49:20+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 18, ""total_frames"": 7968, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",True,True,2,0,0,pick_and_place,2,2,18,v3.0,so101_follower,200.0,100.0,True
Tsagkas/absolute-dataset-v0-cls,Tsagkas,0,0,2026-02-13T13:48:48+00:00,2026-02-13T13:47:43+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 30, ""total_frames"": 3553, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 15, ""splits"":",True,False,0,0,0,pick_and_place,0,0,30,v3.0,so101_follower,200.0,100.0,False
yeeunleee/rlintern-wettissue-place_variation_2,yeeunleee,0,0,2026-02-13T12:44:28+00:00,2026-02-13T12:05:49+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 100, ""total_frames"": 26414, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",False,False,1,0,0,pick_and_place,1,1,100,v3.0,so_follower,200.0,100.0,True
